,date,likes,retweets,tweet,tweet_id
29,2020-10-29 12:30:00,36154.0,4605.0,"I am close to the Catholic community of #Nice, mourning the attack that sowed death in a place of prayer and consolation. I pray for the victims, for their families and for the beloved French people, that they may respond to evil with good.",1321791394432847873
30,2020-10-18 08:30:00,22376.0,3908.0,"Today and tomorrow, one million children around the world pray the Rosary. May we confidently recite the #Rosary every day. It is a weapon that protects us from evil and temptation. #ChildrenPraying",1317744727534587905
31,2020-10-13 12:27:26,22820.0,4365.0,"Tenderness is love that draws near and becomes real. A movement that starts from our heart and reaches the eyes, the ears and the hands. Tenderness is the path of choice for the strongest, most courageous men and women. #FratelliTutti",1315992542140301313
32,2020-10-08 11:00:00,25669.0,4424.0,"Belief in God, and the worship of God are not enough to ensure that we actually live in a way pleasing to God. The guarantee of an authentic openness to God is a way of practising the faith that helps open our hearts to our brothers and sisters. #FratelliTutti",1314158599661219840
33,2020-10-21 11:30:00,32474.0,5484.0,"Prayer is the centre of life. If there is prayer, even a brother, a sister, becomes important. Those who adore God, love His children. Those who respect God, respect human beings. #GeneralAudience",1318877190918909952
34,2020-10-19 10:30:00,27003.0,4346.0,"I invite you again to take the #Rosary and lift up your gaze to Our Lady, sign of consolation and sure hope. One million children around the world are doing this today, as they pray for unity and peace. #ChildrenPraying",1318137314263130112
35,2020-10-09 12:00:02,15470.0,2857.0,"Our love for others, for who they are, moves us to seek the best for their lives. Only by cultivating this way of relating to one another will we make possible a social friendship that excludes no one and a fraternity that is open to all. #FratelliTutti",1314536094818537478
36,2020-10-12 11:30:00,23287.0,3927.0,"The witness of Blessed Carlo Acutis indicates to today's young people that true happiness is found by putting God in first place and serving Him in our brothers and sisters, especially the least.",1315615700690427905
37,2020-10-10 12:00:01,26547.0,5236.0,"Every person has the right to live with dignity and to develop him or herself completely, even if they were born with or grew up with limitations. For the immense dignity of the human person is not based on circumstances but on the intrinsic worth of their being. #FratelliTutti",1314898480196997122
38,2020-10-20 15:05:58,16001.0,2828.0,"The “gospel” of save yourself is not the Gospel of salvation. It is the falsest of the apocryphal gospels, making others carry the cross. Whereas the true Gospel bids us take up the cross of others. #Peaceandfraternity",1318569150885842945
39,2020-10-05 11:00:00,21822.0,3773.0,"By his actions, the Good Samaritan showed that the existence of each and every individual is deeply tied to that of others: life is not simply time that passes; life is a time for interactions. #FratelliTutti",1313071434055393281
40,2020-10-07 11:00:01,28584.0,4416.0,The proof of #prayer is real love for our neighbour. #GeneralAudience,1313796215864266753
41,2020-10-16 13:00:01,23253.0,4599.0,"Hunger is not only a tragedy for humanity, it is shameful. Faced with this reality, we cannot remain insensitive or paralyzed. We are all responsible. #WorldHungerDay",1317087906519973889
42,2020-10-28 12:30:00,17913.0,2811.0,"I unite myself to the pain of the families of the students barbarically killed in #Kumba, #Cameroon. May God enlighten hearts, so that similar acts may never be repeated! I send my affection to the families and all Cameroon, and I invoke the comfort that only God can give.",1321429006047084545
43,2020-10-28 11:30:00,17282.0,2262.0,"“You are my beloved Son; with you I am well pleased” (Lk 3:22). This simple phrase enables us to intuit something of the mystery of Jesus and of His heart, always turned to the Father. Jesus gave us His own #Prayer, which is His loving dialogue with the Father. #GeneralAudience",1321413905185443840
44,2020-10-27 12:30:00,22676.0,3708.0,"Those who love may be sure that none of their acts of love will be lost, nor any of their acts of sincere concern for others, nor any single act of love for God, nor any generous effort, nor any painful endurance. All of these enfold our world like a vital force. #FratelliTutti",1321066619129393152
45,2020-10-09 11:00:01,25117.0,4449.0,"All of us, as believers, need to recognize that love takes first place: love must never be put at risk, and the greatest danger lies in failing to love (cf. 1 Cor 13:1-13). #FratelliTutti",1314520992270622721
46,2020-10-06 11:00:02,23139.0,3450.0,"It is my desire that, in this our time, by acknowledging the dignity of each human person, we can contribute to the rebirth of a universal aspiration to fraternity. #FratelliTutti",1313433829793771521
47,2020-10-08 14:45:00,6608.0,1462.0,https://t.co/7voH7bULco,1314215221247045633
